Filename,Colors,Seasons,Occasions,Vibes,Confidence
nail-001.jpg,"Red, Pink","","Valentine's Day","French Tip, Whimsical",high
nail-002.jpg,"Blue, White","Winter","Valentine's Day","French Tip, Elegant",low
nail-003.jpg,"Black, Neutral","","","French Tip, Minimalist, Elegant",high
nail-004.jpg,"Pink, White","Summer","","French Tip, Whimsical, Detailed",high
nail-005.jpg,"Red","Fall","","Floral, Detailed, Elegant",low
nail-006.jpg,"Blue","","Everyday","Polka Dot, Geometric",high
nail-007.jpg,"Black","","","Abstract, Minimalist, Elegant",low
nail-008.jpg,"Grey, Black","","","Floral, Detailed, Elegant",low
nail-009.jpg,"Neutral","Fall","","Geometric, Minimalist",low
nail-010.jpg,"Green","Spring","","Abstract, Minimalist",low
nail-011.jpg,"Red, White","Fall","","Floral, Stripes, Detailed, Geometric",low
nail-012.jpg,"Green, Pink","Summer","","Whimsical, Detailed",high
nail-013.jpg,"Neutral","Summer","","Whimsical, Abstract",low
nail-014.jpg,"Green, Neutral","Spring","","Floral, French Tip, Whimsical",low
nail-015.jpg,"Pink, Black","Spring","","Whimsical, Detailed, French Tip",low
nail-016.jpg,"Black, Green","","New Year's","Ombre, Glam, Abstract",low
nail-017.jpg,"Green, Neutral","Spring","","Floral, Elegant, Detailed",high
nail-018.jpg,"Green","Fall","","Floral, Minimalist",high
nail-019.jpg,"Neutral, Green","Fall","","French Tip, Detailed, Elegant",low
nail-020.jpg,"Green, Neutral","Spring","","Floral, Detailed, Elegant",high
nail-021.jpg,"Green","Summer","","Geometric, Whimsical",low
nail-022.jpg,"Green, Pink","Spring","","Abstract, Geometric, Minimalist",low
nail-023.jpg,"Green","Fall","","Detailed, Floral, Elegant",low
nail-024.jpg,"Pink","","New Year's","Polka Dot, Glam",low
nail-025.jpg,"Blue","Winter","","Polka Dot, Minimalist",low
nail-026.jpg,"Pink","","Valentine's Day","Minimalist, Elegant",low
nail-027.jpg,"Green, Neutral","Fall","","French Tip, Floral, Elegant",low
nail-028.jpg,"Red, Neutral","","Valentine's Day","French Tip, Minimalist, Whimsical",high
nail-029.jpg,"Red, Neutral","","","Floral, Elegant, Detailed",low
nail-030.jpg,"Neutral, Gold","Winter","New Year's","Glam, Detailed",low
nail-031.jpg,"Blue, White","Fall, Winter","","Geometric, Polka Dot, Whimsical",low
nail-032.jpg,"Neutral, White","","Valentine's Day, New Year's","Whimsical, Glam, Detailed",high
nail-033.jpg,"Pink","Fall","","Stripes, Polka Dot, Geometric",low
nail-034.jpg,"Neutral","","Valentine's Day","Minimalist, Glam, Elegant",high
nail-035.jpg,"Pink, White","","Valentine's Day","Whimsical, Minimalist",high
nail-036.jpg,"Red","","","Polka Dot, Elegant",low
nail-037.jpg,"Pink, Red","","Valentine's Day","Whimsical, Detailed",high
nail-038.jpg,"White, Red, Blue","Spring","","Floral, Stripes, Detailed",low
nail-039.jpg,"Neutral","Winter","New Year's","Glam, Minimalist, Elegant",low
nail-040.jpg,"Blue","Winter","","Polka Dot, Minimalist",low
nail-041.jpg,"Green","Fall","","Geometric, Elegant",low
nail-042.jpg,"Neutral","","Christmas, New Year's","Glam, Minimalist",low
nail-043.jpg,"Green","Fall","","Minimalist, Whimsical, Elegant",low
nail-044.jpg,"Red, Neutral","","Valentine's Day","Floral, Elegant, Minimalist",low
nail-045.jpg,"Pink","Spring","","Minimalist, Polka Dot",low
nail-046.jpg,"Red, Neutral","","Christmas","Floral, Detailed, Elegant",low
nail-047.jpg,"White","Winter","Christmas","French Tip, Detailed, Elegant",high
nail-048.jpg,"Neutral","Summer","","Whimsical, Minimalist, French Tip, Floral",low
nail-049.jpg,"Red","","Valentine's Day","Minimalist, Whimsical",low
nail-050.jpg,"Red, Neutral","","Valentine's Day","Minimalist, Elegant",low
